customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
SYNTH-00001,Male,0,No,No,14,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,86.66,1219.18,No
SYNTH-00002,Female,1,Yes,No,54,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Two year,Yes,Bank transfer (automatic),76.52,4208.02,No
SYNTH-00003,Female,0,Yes,Yes,8,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Electronic check,68.31,553.92,Yes
SYNTH-00004,Male,0,No,No,34,No,No phone service,Fiber optic,Yes,Yes,Yes,No,No,No,One year,No,Bank transfer (automatic),78.83,2694.62,No
SYNTH-00005,Female,1,Yes,No,18,Yes,No,DSL,No,No,No,Yes,Yes,No,One year,No,Bank transfer (automatic),67.95,1184.90,No
SYNTH-00006,Male,0,Yes,No,67,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Two year,Yes,Electronic check,89.77,6195.44,No
SYNTH-00007,Female,0,No,Yes,47,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,One year,Yes,Electronic check,88.70,4191.36,No
SYNTH-00008,Female,0,Yes,Yes,60,No,No phone service,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),57.00,3351.03,No
SYNTH-00009,Male,0,No,No,0,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,96.20,,No
SYNTH-00010,Female,0,No,Yes,12,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,No,Electronic check,100.46,1170.82,No
SYNTH-00011,Male,0,No,No,70,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,No,Electronic check,94.57,6386.16,Yes
SYNTH-00012,Female,0,Yes,Yes,54,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,One year,Yes,Credit card (automatic),109.24,5938.68,No
SYNTH-00013,Male,0,Yes,No,30,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,33.60,1014.75,No
SYNTH-00014,Female,0,No,Yes,50,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,No,Month-to-month,No,Electronic check,100.16,4835.24,Yes
SYNTH-00015,Female,0,No,No,67,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,35.19,2285.19,Yes
SYNTH-00016,Male,0,Yes,Yes,26,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),35.03,881.07,No
SYNTH-00017,Female,0,Yes,Yes,33,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,One year,No,Electronic check,107.65,3513.98,Yes
SYNTH-00018,Female,0,Yes,Yes,71,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Mailed check,109.18,8018.95,No
SYNTH-00019,Female,1,No,No,60,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),34.60,2029.98,No
SYNTH-00020,Male,1,Yes,No,44,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,Yes,Two year,No,Bank transfer (automatic),100.04,4482.24,No
SYNTH-00021,Male,0,No,No,5,Yes,Yes,DSL,No,No,Yes,No,No,Yes,Two year,Yes,Mailed check,71.10,350.08,No
SYNTH-00022,Male,1,No,Yes,53,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,One year,Yes,Mailed check,89.65,4810.26,No
SYNTH-00023,Female,1,No,Yes,10,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,One year,No,Electronic check,105.73,1066.71,No
SYNTH-00024,Male,0,No,No,51,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,104.09,5152.87,Yes
